FULL_NAME,PROFILE_TYPE,OFFICE,OFFICE_LEVEL,STATE,DISTRICT,PARTY,INCUMBENT,STATUS,PRIMARY_DATE,GENERAL_DATE,FEC_CANDIDATE_ID,BALLOTPEDIA_URL,WEBSITE,EMAIL,PHONE,BIOGRAPHY,PHOTO_URL,NOTES
Ned Carroll,politician,Minnesota House of Representatives,State,Minnesota,42A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ned_Carroll,https://www.house.mn.gov/members/profile/15617,rep.ned.carroll@house.mn.gov,651-296-5510,,https://www.house.mn.gov/hinfo/memberimgls94/42A.gif,
Ginny Klevorn,politician,Minnesota House of Representatives,State,Minnesota,42B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ginny_Klevorn,https://www.house.mn.gov/members/profile/15512,rep.ginny.klevorn@house.mn.gov,651-296-5511,,https://www.house.mn.gov/hinfo/memberimgls94/42B.gif,
Cedrick Frazier,politician,Minnesota House of Representatives,State,Minnesota,43A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Cedrick_Frazier,https://www.house.mn.gov/members/profile/15548,rep.cedrick.frazier@house.mn.gov,651-296-4255,,https://www.house.mn.gov/hinfo/memberimgls94/43A.gif,
Mike Freiberg,politician,Minnesota House of Representatives,State,Minnesota,43B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mike_Freiberg,https://www.house.mn.gov/members/profile/15398,rep.mike.freiberg@house.mn.gov,651-296-4176,,https://www.house.mn.gov/hinfo/memberimgls94/43B.gif,
Peter Fischer,politician,Minnesota House of Representatives,State,Minnesota,44A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Peter_Fischer_(Minnesota),https://www.house.mn.gov/members/profile/15396,rep.peter.fischer@house.mn.gov,651-296-5363,,https://www.house.mn.gov/hinfo/memberimgls94/44A.gif,
Leon Lillie,politician,Minnesota House of Representatives,State,Minnesota,44B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Leon_Lillie,https://www.house.mn.gov/members/profile/12269,rep.leon.lillie@house.mn.gov,651-296-1188,,https://www.house.mn.gov/hinfo/memberimgls94/44B.gif,
Andrew Myers,politician,Minnesota House of Representatives,State,Minnesota,45A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Andrew_Myers_(Minnesota),https://www.house.mn.gov/members/profile/15618,rep.andrew.myers@house.mn.gov,651-296-9188,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/45A.gif,
Patty Acomb,politician,Minnesota House of Representatives,State,Minnesota,45B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Patty_Acomb,https://www.house.mn.gov/members/profile/15513,rep.patty.acomb@house.mn.gov,651-296-9934,,https://www.house.mn.gov/hinfo/memberimgls94/45B.gif,
Larry Kraft,politician,Minnesota House of Representatives,State,Minnesota,46A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Larry_Kraft,https://www.house.mn.gov/members/profile/15619,rep.larry.kraft@house.mn.gov,651-296-7026,Assistant DFL Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/46A.gif,
Cheryl Youakim,politician,Minnesota House of Representatives,State,Minnesota,46B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Cheryl_Youakim,https://www.house.mn.gov/members/profile/15450,rep.cheryl.youakim@house.mn.gov,651-296-9889,,https://www.house.mn.gov/hinfo/memberimgls94/46B.gif,
Shelley Buck,politician,Minnesota House of Representatives,State,Minnesota,47A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Shelley_Buck,https://www.house.mn.gov/members/profile/15655,rep.shelley.buck@house.mn.gov,651-296-7807,,https://www.house.mn.gov/hinfo/memberimgls94/47A.gif,
Ethan Cha,politician,Minnesota House of Representatives,State,Minnesota,47B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ethan_Cha,https://www.house.mn.gov/members/profile/15621,rep.ethan.cha@house.mn.gov,651-296-1147,,https://www.house.mn.gov/hinfo/memberimgls94/47B.gif,
Jim Nash,politician,Minnesota House of Representatives,State,Minnesota,48A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jim_Nash_(Minnesota),https://www.house.mn.gov/members/profile/15441,rep.jim.nash@house.mn.gov,651-296-4282,GOP Whip,https://www.house.mn.gov/hinfo/memberimgls94/48A.gif,
Lucy Rehm,politician,Minnesota House of Representatives,State,Minnesota,48B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Lucy_Rehm,https://www.house.mn.gov/members/profile/15622,rep.lucy.rehm@house.mn.gov,651-296-5066,,https://www.house.mn.gov/hinfo/memberimgls94/48B.gif,
Alex Falconer,politician,Minnesota House of Representatives,State,Minnesota,49A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Alex_Falconer,https://www.house.mn.gov/members/profile/15630,rep.alex.falconer@house.mn.gov,651-296-3964,,https://www.house.mn.gov/hinfo/memberimgls94/49A.gif,
Carlie Kotyza-Witthuhn,politician,Minnesota House of Representatives,State,Minnesota,49B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Carlie_Kotyza-Witthuhn,https://www.house.mn.gov/members/profile/15515,rep.carlie.kotyza-witthuhn@house.mn.gov,651-296-7449,,https://www.house.mn.gov/hinfo/memberimgls94/49B.gif,
Julie Greene,politician,Minnesota House of Representatives,State,Minnesota,50A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Julie_Greene_(Minnesota),https://www.house.mn.gov/members/profile/15633,rep.julie.greene@house.mn.gov,651-296-4363,,https://www.house.mn.gov/hinfo/memberimgls94/50A.gif,
Steve Elkins,politician,Minnesota House of Representatives,State,Minnesota,50B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Steve_Elkins,https://www.house.mn.gov/members/profile/15517,rep.steve.elkins@house.mn.gov,651-296-7803,,https://www.house.mn.gov/hinfo/memberimgls94/50B.gif,
Michael Howard,politician,Minnesota House of Representatives,State,Minnesota,51A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Michael_Howard_(Minnesota),https://www.house.mn.gov/members/profile/15518,rep.michael.howard@house.mn.gov,651-296-7158,,https://www.house.mn.gov/hinfo/memberimgls94/51A.gif,
Nathan Coulter,politician,Minnesota House of Representatives,State,Minnesota,51B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Nathan_Coulter,https://www.house.mn.gov/members/profile/15567,rep.nathan.coulter@house.mn.gov,651-296-4218,Assistant DFL Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/51B.gif,
Liz Reyer,politician,Minnesota House of Representatives,State,Minnesota,52A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Liz_Reyer,https://www.house.mn.gov/members/profile/15549,rep.liz.reyer@house.mn.gov,651-296-4128,,https://www.house.mn.gov/hinfo/memberimgls94/52A.gif,
Bianca Virnig,politician,Minnesota House of Representatives,State,Minnesota,52B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bianca_Virnig,https://www.house.mn.gov/members/profile/15625,rep.bianca.virnig@house.mn.gov,651-296-4192,,https://www.house.mn.gov/hinfo/memberimgls94/52B.gif,
Mary Frances Clardy,politician,Minnesota House of Representatives,State,Minnesota,53A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mary_Frances_Clardy,https://www.house.mn.gov/members/profile/15568,rep.mary.frances.clardy@house.mn.gov,651-296-3533,,https://www.house.mn.gov/hinfo/memberimgls94/53A.gif,
Rick Hansen,politician,Minnesota House of Representatives,State,Minnesota,53B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Rick_Hansen_(Minnesota),https://www.house.mn.gov/members/profile/12282,rep.rick.hansen@house.mn.gov,651-296-6828,,https://www.house.mn.gov/hinfo/memberimgls94/53B.gif,
Brad Tabke,politician,Minnesota House of Representatives,State,Minnesota,54A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Brad_Tabke,https://www.house.mn.gov/members/profile/15523,rep.brad.tabke@house.mn.gov,651-296-8872,,https://www.house.mn.gov/hinfo/memberimgls94/54A.gif,
Ben Bakeberg,politician,Minnesota House of Representatives,State,Minnesota,54B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ben_Bakeberg,https://www.house.mn.gov/members/profile/15569,rep.ben.bakeberg@house.mn.gov,651-296-5185,Assistant GOP Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/54B.gif,
Jessica Hanson,politician,Minnesota House of Representatives,State,Minnesota,55A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jessica_Hanson,https://www.house.mn.gov/members/profile/15563,rep.jessica.hanson@house.mn.gov,651-296-4212,,https://www.house.mn.gov/hinfo/memberimgls94/55A.gif,
Kaela Berg,politician,Minnesota House of Representatives,State,Minnesota,55B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kaela_Berg,https://www.house.mn.gov/members/profile/15550,rep.kaela.berg@house.mn.gov,651-296-5387,,https://www.house.mn.gov/hinfo/memberimgls94/55B.gif,
Robert Bierman,politician,Minnesota House of Representatives,State,Minnesota,56A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Robert_Bierman,https://www.house.mn.gov/members/profile/15526,rep.robert.bierman@house.mn.gov,651-296-5506,,https://www.house.mn.gov/hinfo/memberimgls94/56A.gif,
John Huot,politician,Minnesota House of Representatives,State,Minnesota,56B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/John_Huot,https://www.house.mn.gov/members/profile/15527,rep.john.huot@house.mn.gov,651-296-4306,,https://www.house.mn.gov/hinfo/memberimgls94/56B.gif,
Jon Koznick,politician,Minnesota House of Representatives,State,Minnesota,57A,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jon_Koznick,https://www.house.mn.gov/members/profile/15436,rep.jon.koznick@house.mn.gov,651-296-6926,,https://www.house.mn.gov/hinfo/memberimgls94/57A.gif,
Jeff Witte,politician,Minnesota House of Representatives,State,Minnesota,57B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jeff_Witte,https://www.house.mn.gov/members/profile/15570,rep.jeff.witte@house.mn.gov,651-296-4240,,https://www.house.mn.gov/hinfo/memberimgls94/57B.gif,
Kristi Pursell,politician,Minnesota House of Representatives,State,Minnesota,58A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Kristi_Pursell,https://www.house.mn.gov/members/profile/15571,rep.kristi.pursell@house.mn.gov,651-296-0171,Assistant DFL Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/58A.gif,
Drew Roach,politician,Minnesota House of Representatives,State,Minnesota,58B,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Drew_Roach,https://www.house.mn.gov/members/profile/15642,rep.drew.roach@house.mn.gov,651-296-1069,,https://www.house.mn.gov/hinfo/memberimgls94/58B.gif,
Fue Lee,politician,Minnesota House of Representatives,State,Minnesota,59A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Fue_Lee,https://www.house.mn.gov/members/profile/15468,rep.fue.lee@house.mn.gov,651-296-4262,,https://www.house.mn.gov/hinfo/memberimgls94/59A.gif,
Esther Agbaje,politician,Minnesota House of Representatives,State,Minnesota,59B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Esther_Agbaje,https://www.house.mn.gov/members/profile/15551,rep.esther.agbaje@house.mn.gov,651-296-8659,,https://www.house.mn.gov/hinfo/memberimgls94/59B.gif,
Sydney Jordan,politician,Minnesota House of Representatives,State,Minnesota,60A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Sydney_Jordan,https://www.house.mn.gov/members/profile/15535,rep.sydney.jordan@house.mn.gov,651-296-4219,,https://www.house.mn.gov/hinfo/memberimgls94/60A.gif,
Mohamud Noor,politician,Minnesota House of Representatives,State,Minnesota,60B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mohamud_Noor,https://www.house.mn.gov/members/profile/15528,rep.mohamud.noor@house.mn.gov,651-296-4257,,https://www.house.mn.gov/hinfo/memberimgls94/60B.gif,
Katie Jones,politician,Minnesota House of Representatives,State,Minnesota,61A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Katie_Jones_(Minnesota),https://www.house.mn.gov/members/profile/15638,rep.katie.jones@house.mn.gov,651-296-9281,,https://www.house.mn.gov/hinfo/memberimgls94/61A.gif,
Jamie Long,politician,Minnesota House of Representatives,State,Minnesota,61B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jamie_Long,https://www.house.mn.gov/members/profile/15529,rep.jamie.long@house.mn.gov,651-296-5375,DFL Floor Leader,https://www.house.mn.gov/hinfo/memberimgls94/61B.gif,
Aisha Gomez,politician,Minnesota House of Representatives,State,Minnesota,62A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Aisha_Gomez,https://www.house.mn.gov/members/profile/15531,rep.aisha.gomez@house.mn.gov,651-296-7152,,https://www.house.mn.gov/hinfo/memberimgls94/62A.gif,
Anquam Mahamoud,politician,Minnesota House of Representatives,State,Minnesota,62B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Anquam_Mahamoud,https://www.house.mn.gov/members/profile/15639,rep.anquam.mahamoud@house.mn.gov,651-296-0294,,https://www.house.mn.gov/hinfo/memberimgls94/62B.gif,
Samantha Sencer-Mura,politician,Minnesota House of Representatives,State,Minnesota,63A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Samantha_Sencer-Mura,https://www.house.mn.gov/members/profile/15572,rep.samantha.sencer-mura@house.mn.gov,651-296-0173,,https://www.house.mn.gov/hinfo/memberimgls94/63A.gif,
Emma Greenman,politician,Minnesota House of Representatives,State,Minnesota,63B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Emma_Greenman,https://www.house.mn.gov/members/profile/15552,rep.emma.greenman@house.mn.gov,651-296-4200,,https://www.house.mn.gov/hinfo/memberimgls94/63B.gif,
Meg Luger-Nikolai,politician,Minnesota House of Representatives,State,Minnesota,64A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Meg_Luger-Nikolai,https://www.house.mn.gov/members/profile/15654,rep.meg.luger-nikolai@house.mn.gov,651-296-8799,,https://www.house.mn.gov/hinfo/memberimgls94/64A.gif,
Dave Pinto,politician,Minnesota House of Representatives,State,Minnesota,64B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Dave_Pinto,https://www.house.mn.gov/members/profile/15444,rep.dave.pinto@house.mn.gov,651-296-4199,,https://www.house.mn.gov/hinfo/memberimgls94/64B.gif,
Samakab Hussein,politician,Minnesota House of Representatives,State,Minnesota,65A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Samakab_Hussein,https://www.house.mn.gov/members/profile/15573,rep.samakab.hussein@house.mn.gov,651-296-5158,,https://www.house.mn.gov/hinfo/memberimgls94/65A.gif,
María Isa Pérez-Vega,politician,Minnesota House of Representatives,State,Minnesota,65B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mar%C3%ADa_Isa_P%C3%A9rez-Vega,https://www.house.mn.gov/members/profile/15574,rep.maria.isa.perez-vega@house.mn.gov,651-296-9714,,https://www.house.mn.gov/hinfo/memberimgls94/65B.gif,
Leigh Finke,politician,Minnesota House of Representatives,State,Minnesota,66A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Leigh_Finke,https://www.house.mn.gov/members/profile/15575,,651-296-3824,,https://www.house.mn.gov/hinfo/memberimgls94/66A.gif,
Athena Hollins,politician,Minnesota House of Representatives,State,Minnesota,66B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Athena_Hollins,https://www.house.mn.gov/members/profile/15553,rep.athena.hollins@house.mn.gov,651-296-4224,DFL Whip,https://www.house.mn.gov/hinfo/memberimgls94/66B.gif,
Liz Lee,politician,Minnesota House of Representatives,State,Minnesota,67A,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Liz_Lee_(Minnesota),https://www.house.mn.gov/members/profile/15576,,651-296-4277,,https://www.house.mn.gov/hinfo/memberimgls94/67A.gif,
Jay Xiong,politician,Minnesota House of Representatives,State,Minnesota,67B,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jay_Xiong,https://www.house.mn.gov/members/profile/15533,rep.jay.xiong@house.mn.gov,651-296-4201,,https://www.house.mn.gov/hinfo/memberimgls94/67B.gif,
Mark Johnson,politician,Minnesota State Senate,State,Minnesota,1,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mark_Johnson_(Minnesota_Senate),https://www.senate.mn/members/1173,,651-296-5782,,,
Steve Green,politician,Minnesota State Senate,State,Minnesota,2,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Steve_Green_(Minnesota),https://www.senate.mn/members/1246,,651-297-8063,,,
Grant Hauschild,politician,Minnesota State Senate,State,Minnesota,3,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Grant_Hauschild,https://www.senate.mn/members/1266,,651-296-1789,,,
Rob Kupec,politician,Minnesota State Senate,State,Minnesota,4,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Rob_Kupec,https://www.senate.mn/members/1267,,651-296-3205,,,
Paul Utke,politician,Minnesota State Senate,State,Minnesota,5,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Paul_Utke,https://www.senate.mn/members/1221,,651-296-9651,,,
Keri Heintzeman,politician,Minnesota State Senate,State,Minnesota,6,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Keri_Heintzeman,https://www.senate.mn/members/1279,,651-296-7079,,Succeeded Justin Eichorn who resigned March 2025,
Robert Farnsworth,politician,Minnesota State Senate,State,Minnesota,7,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Robert_Farnsworth_(Minnesota),https://www.senate.mn/members/1268,,651-296-8436,,,
Jen McEwen,politician,Minnesota State Senate,State,Minnesota,8,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jennifer_McEwen,https://www.senate.mn/members/1247,,651-296-4188,,,
Jordan Rasmusson,politician,Minnesota State Senate,State,Minnesota,9,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jordan_Rasmusson,https://www.senate.mn/members/1248,,651-296-4875,,,
Nathan Wesenberg,politician,Minnesota State Senate,State,Minnesota,10,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Nathan_Wesenberg,https://www.senate.mn/members/1249,,651-296-4913,,,
Jason Rarick,politician,Minnesota State Senate,State,Minnesota,11,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jason_Rarick,https://www.senate.mn/members/1196,,651-296-1508,,,
Torrey Westrom,politician,Minnesota State Senate,State,Minnesota,12,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Torrey_Westrom,https://www.senate.mn/members/1174,,651-296-3826,,,
Jeff Howe,politician,Minnesota State Senate,State,Minnesota,13,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jeff_Howe,https://www.senate.mn/members/1222,,651-296-2084,,,
Aric Putnam,politician,Minnesota State Senate,State,Minnesota,14,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Aric_Putnam,https://www.senate.mn/members/1250,,651-296-6455,,,
Gary Dahms,politician,Minnesota State Senate,State,Minnesota,15,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Gary_Dahms,https://www.senate.mn/members/1175,,651-296-8138,,,
Andrew Lang,politician,Minnesota State Senate,State,Minnesota,16,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Andrew_Lang_(Minnesota),https://www.senate.mn/members/1251,,651-296-4918,,,
Glenn Gruenhagen,politician,Minnesota State Senate,State,Minnesota,17,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Glenn_Gruenhagen,https://www.senate.mn/members/1176,,651-296-4131,,,
Nick Frentz,politician,Minnesota State Senate,State,Minnesota,18,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Nick_Frentz,https://www.senate.mn/members/1252,,651-296-6153,,,
John Jasinski,politician,Minnesota State Senate,State,Minnesota,19,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/John_Jasinski,https://www.senate.mn/members/1223,,651-296-0284,,,
Steve Drazkowski,politician,Minnesota State Senate,State,Minnesota,20,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Steve_Drazkowski,https://www.senate.mn/members/1177,,651-296-5612,,,
Bill Weber,politician,Minnesota State Senate,State,Minnesota,21,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bill_Weber_(Minnesota),https://www.senate.mn/members/1224,,651-296-5650,,,
Rich Draheim,politician,Minnesota State Senate,State,Minnesota,22,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Rich_Draheim,https://www.senate.mn/members/1197,,651-296-5558,,,
Gene Dornink,politician,Minnesota State Senate,State,Minnesota,23,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Gene_Dornink,https://www.senate.mn/members/1253,,651-296-5240,,,
Carla Nelson,politician,Minnesota State Senate,State,Minnesota,24,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Carla_Nelson,https://www.senate.mn/members/1178,,651-296-4848,,,
Liz Boldon,politician,Minnesota State Senate,State,Minnesota,25,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Liz_Boldon,https://www.senate.mn/members/1254,,651-296-3903,,,
Jeremy Miller,politician,Minnesota State Senate,State,Minnesota,26,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jeremy_Miller_(Minnesota),https://www.senate.mn/members/1179,,651-296-5649,,,
Andrew Mathews,politician,Minnesota State Senate,State,Minnesota,27,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Andrew_Mathews,https://www.senate.mn/members/1225,,651-296-8075,,,
Mark Koran,politician,Minnesota State Senate,State,Minnesota,28,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mark_Koran,https://www.senate.mn/members/1198,,651-296-5419,,,
Michael Holmstrom,politician,Minnesota State Senate,State,Minnesota,29,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Michael_Holmstrom,https://www.senate.mn/members/1280,,651-296-5981,,,
Eric Lucero,politician,Minnesota State Senate,State,Minnesota,30,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Eric_Lucero,https://www.senate.mn/members/1255,,651-296-5655,,Walter Hudson's senator,
Cal Bahr,politician,Minnesota State Senate,State,Minnesota,31,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Cal_Bahr,https://www.senate.mn/members/1226,,651-296-3219,,,
Michael Kreun,politician,Minnesota State Senate,State,Minnesota,32,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Michael_Kreun,https://www.senate.mn/members/1256,,651-296-1282,,,
Karin Housley,politician,Minnesota State Senate,State,Minnesota,33,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Karin_Housley,https://www.senate.mn/members/1257,,651-296-4351,,,
John Hoffman,politician,Minnesota State Senate,State,Minnesota,34,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/John_Hoffman_(Minnesota),https://www.senate.mn/members/1180,,651-296-4154,,,
Jim Abeler,politician,Minnesota State Senate,State,Minnesota,35,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jim_Abeler,https://www.senate.mn/members/1160,,651-296-3733,,,
Heather Gustafson,politician,Minnesota State Senate,State,Minnesota,36,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Heather_Gustafson,https://www.senate.mn/members/1258,,651-296-1253,,,
Warren Limmer,politician,Minnesota State Senate,State,Minnesota,37,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Warren_Limmer,https://www.senate.mn/members/1163,,651-296-2159,,,
Susan Pha,politician,Minnesota State Senate,State,Minnesota,38,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Susan_Pha,https://www.senate.mn/members/1259,,651-296-2556,,,
Mary Kunesh,politician,Minnesota State Senate,State,Minnesota,39,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Mary_Kunesh,https://www.senate.mn/members/1260,,651-296-4334,,,
John Marty,politician,Minnesota State Senate,State,Minnesota,40,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/John_Marty,https://www.senate.mn/members/1164,,651-296-5645,,,
Judy Seeberger,politician,Minnesota State Senate,State,Minnesota,41,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Judy_Seeberger,https://www.senate.mn/members/1261,,651-297-8060,,,
Bonnie Westlin,politician,Minnesota State Senate,State,Minnesota,42,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bonnie_Westlin,https://www.senate.mn/members/1262,,651-296-8869,,,
Ann Rest,politician,Minnesota State Senate,State,Minnesota,43,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ann_Rest,https://www.senate.mn/members/1165,,651-296-2889,,,
Tou Xiong,politician,Minnesota State Senate,State,Minnesota,44,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Tou_Xiong,https://www.senate.mn/members/1263,,651-296-6820,,,
